Book Name,Author,Language,Category,ISBN,Book Tags,Similar Books
101 Essays That Will Change the Way You Think,Brianna Wiest,English,Self-Help & Philosophy,978-1945796067,Self-Help|Philosophy|Personal Development,"The Subtle Art of Not Giving a
                                                F*ck - Mark Manson|You Are a Badass - Jen Sincero|Big Magic - Elizabeth Gilbert"
48 Laws of Power,Robert Greene,English,Psychology & Strategy,978-0140280197,Psychology|Strategy|Philosophy,The Laws of Human Nature - Robert Greene|The Art of War - Sun Tzu|The Prince - Niccolò Machiavelli
Altar of Eden,James Rollins,English,Biotech Thriller & Science,978-0061231391,Thriller|Science Fiction|Biotech|Suspense,Amazonia - James Rollins|Jurassic Park - Michael Crichton|Next - Michael Crichton
Amazonia,James Rollins,English,Adventure,978-0380814299,Adventure|Thriller|Sci-Fi,Jurassic Park - Michael Crichton|Congo - Michael Crichton|Excavation - James Rollins
Angels & Demons,Dan Brown,English,Mystery & Thriller,978-0671027360,Mystery|Thriller|Suspense,"The Da Vinci
                                                Code - Dan Brown|The Last
                                                Templar - Raymond Khoury|Digital Fortress - Dan Brown"
Apurvai,Pu La Deshpande,Marathi,Marathi Stories & Essays,ISBN Not available,Marathi Literature|Short Stories|Humor|Essays,"Vyakti ani
                                                Valli - P.L. Deshpande|Batatyachi
                                                Chal - P.L. Deshpande|Vapurza - V.P. Kale"
Arctic Storm Rising,Dale Brown,English,Military Thriller,ISBN Not available,Military Thriller|Action|Techno-Thriller,Ice Hunt - James Rollins|Red Storm Rising - Tom Clancy|The Bear and the Dragon - Tom Clancy
Asura: Tale of the Vanquished,Anand Neelakantan,English,Mythology & Retelling,978-9382618683,Mythology|Historical Fiction|Alternative History|Indian Literature,"Ravana Raja
                                                Rakshasancha - Sharad Tandale|Ajaya: Roll of the Dice - Anand Neelakantan|Palace of Illusions - Chitra Banerjee Divakaruni"
Atomic Habits,James Clear,English,Self-Help & Habits,978-0735211292,Self-Help|Psychology|Personal Development|Productivity,The 5 AM Club - Robin Sharma|The Power of Habit - Charles Duhigg|Deep Work - Cal Newport
Attitude is Everything,Jeff Keller,English,Self-Help,ISBN Not available,Self-Help|Psychology|Personal Development,"The Power of Positive
                                                Thinking - Norman Vincent Peale|Mindset - Carol S. Dweck|Atomic Habits - James Clear"
Batatyachi Chal,Pu La Deshpande,Marathi,Marathi Humor & Travelogue,ISBN Not available,Marathi Literature|Travelogue|Humor|Cultural,"Vyakti ani
                                                Valli - P.L. Deshpande|Apurvai - P.L. Deshpande|One for the
                                                Road - V.P. Kale"
Congo,Michael Crichton,English,Techno-Thriller & Adventure,978-0345409775,Techno-Thriller|Adventure|Jungle Fiction|Science Fiction,Amazonia - James Rollins|Jurassic Park - Michael Crichton|The Andromeda Strain - Michael Crichton
Deep Fathom,James Rollins,English,Underwater Adventure & Thriller,978-0380809530,Adventure|Thriller|Underwater Fiction|Sci-Fi,Ice Hunt - James Rollins|Amazonia - James Rollins|Atlantis Found - Clive Cussler
Do Epic Shit,Ankur Warikoo,English,Self-Help & Life Lessons,978-9391130671,Self-Help|Personal Development|Career,"The Subtle Art of Not Giving a
                                                F*ck - Mark Manson|The Almanack of Naval
                                                Ravikant - Eric Jorgenson|Atomic Habits - James Clear"
Excavation,James Rollins,English,Adventure & Archaeological Thriller,978-0380809523,Adventure|Thriller|Archaeological Fiction|Action,Subterranean - James Rollins|Amazonia - James Rollins|The Lost City - Clive Cussler
Flow,Mihaly Csikszentmihalyi,English,Psychology & Philosophy,978-0061339202,Psychology|Philosophy|Self-Help,Peak - Anders Ericsson|Deep Work - Cal Newport|Mindset - Carol Dweck
How to Win Friends and Influence People,Dale Carnegie,English,Self-Help,ISBN Not available,Self-Help|Personal Development|Communication,The 7 Habits - Stephen Covey|Influence - Robert Cialdini|Atomic Habits - James Clear
Ice Hunt,James Rollins,English,Arctic Thriller & Survival,978-0060521578,Thriller|Adventure|Survival|Military Fiction,Deep Fathom - James Rollins|Subterranean - James Rollins|Arctic Storm Rising - Dale Brown
Influence,Robert Cialdini,English,Psychology & Communication,978-0061241895,Psychology|Business|Communication,Pre-Suasion - Robert Cialdini|The Laws of Human Nature - Robert Greene|Thinking Fast and Slow - Daniel Kahneman
Jurassic Park,Michael Crichton,English,Science Fiction,ISBN Not available,Sci-Fi|Thriller|Adventure,The Lost World - Michael Crichton|Congo - Michael Crichton|Amazonia - James Rollins
Man's Search for Meaning,Viktor Frankl,English,Philosophy & Psychology,978-0807014295,Philosophy|Psychology|Biography,The Book of Joy - Dalai Lama & Desmond Tutu|When Breath Becomes Air - Paul Kalanithi|Being Mortal - Atul Gawande
Master Your Emotions,Thibaut Meurisse,English,Self-Help & Psychology,978-1797837093,Self-Help|Psychology|Personal Development,Emotional Intelligence - Daniel Goleman|The Happiness Trap - Russ Harris|Mindset - Carol Dweck
Meditations,Marcus Aurelius,English,Philosophy & Stoicism,978-0140449334,Philosophy|Stoicism|Classics,Letters from a Stoic - Seneca|The Obstacle is the Way - Ryan Holiday|Discourses of Epictetus - Epictetus
Mind Full to Mindful,Om Swami,English,Meditation & Mindfulness,978-9387944046,Meditation|Self-Help|Spirituality,Wherever You Go There You Are - Jon Kabat-Zinn|The Miracle of Mindfulness - Thich Nhat Hanh|10% Happier - Dan Harris
Mrutyunjay (मृत्युंजय),Shivaji Sawant,Marathi,Marathi Literature,ISBN Not available,Marathi Literature|Mythology|Epic Fiction|Tragedy,"Yayati - V.S. Khandekar|Ravana Raja
                                                Rakshasancha - V.P. Kale|Asura - Anand Neelakantan"
One for the Road,V.P. Kale,Marathi,Marathi Literature,ISBN Not available,Marathi Literature|Short Stories|Humor|Life Lessons,Partner - V.P. Kale|Batatyachi Chaal - P.L. Deshpande|Asa Mi Asami - P.L. Deshpande
Panipat (पानिपत),Vishwas Patil,Marathi,Historical Fiction,ISBN Not available,Historical Fiction|Marathi Literature|War|Tragedy,Sambhaji - Vishwas Patil|Swami - Ranjit Desai|Rau - N.S. Inamdar
